iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x1400CA2A0,LUI_LuaCall_LUIPostMatchPackage_PushPerformanceDataToLUIModel_impl,,0x1425AF400,high,52.754,48.961,40 shared string literals (jaccard 0.80); 1 mapped callee(s) in common; 2 shared rare constants; struct_sim=0.97,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM1@<xmm1>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>, __int128 *__struct_ptr _XMM9@<xmm9>, __int128 *__struct_ptr _XMM10@<xmm10>, __int128 *__struct_ptr _XMM11@<xmm11>, __int128 *__struct_ptr _XMM12@<xmm12>, __int128 *__struct_ptr _XMM13@<xmm13>, __int128 *__struct_ptr _XMM14@<xmm14>)"
0x1404D09F0,LUI_LuaCall_LUIElement_SetupAnchoredElement_impl,,0x1425C81E0,high,46.31,43.137,36 shared string literals (jaccard 0.64); 3 shared rare constants; struct_sim=0.84,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>)"
0x1414128A0,hkMemoryTrackerReportUtil::generateReport,,0x142B23A60,high,41.233,39.319,31 shared string literals (jaccard 0.97); 4 shared rare constants; struct_sim=0.98,"void __fastcall(const hkMemorySnapshot *memorySnapshot, const hkMemoryTrackerSnapshot *trackerSnapshot, hkOstream *stream)"
0x1400EF4C0,LUI_DataBinding_PushLobbyDataToModel,,0x142641A60,high,29.774,25.819,23 shared string literals (jaccard 0.61); 1 shared rare constant; struct_sim=0.78,"void __usercall(const PartyData *partyData@<rcx>, unsigned __int16 baseModel@<dx>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM1@<xmm1>)"
0x141193C20,cf2_interpT2CharString,,0x1430CCDB0,high,28.898,26.16,callee set agrees: 28/28 mapped callees (jaccard 1.00); 2 shared rare constants; struct_sim=1.00,"void __fastcall(CF2_FontRec_ *font, CF2_BufferRec_ *buf, CF2_OutlineCallbacksRec_ *callbacks, const FT_Vector_ *translation, char doingSeac, int curX, int curY, int *width)"
0x14B9D077F,bdBitBuffer::typeToString,,0x143598140,high,28.444,26.108,22 shared string literals (jaccard 1.00); struct_sim=0.70,"void __fastcall(const bdBitBufferDataType type, char *const strBuffer, const unsigned __int64 strLength)"
0x14126CBA3,bdUnoAccountInfo::deserializeFromJSON,,0x1435B16E0,high,28.069,5.01,22 shared string literals (jaccard 0.76); struct_sim=0.61,"char __fastcall(bdUnoAccountInfo *this, bdJSONDeserializer *json)"
0x141013E50,UhkcdDefaultStaticMeshTree::Builder::build,,0x142E4E4A0,high,27.934,27.934,20 shared string literals (jaccard 0.54); 5 shared rare constants; struct_sim=0.93,"bool __usercall@<al>(const hkcdStaticMeshTree::BuildConfig *baseConfig@<rcx>, hkcdStaticMeshTree::GeometryProvider *provider@<rdx>, hkcdStaticMeshTree::BuildMappings *mapping@<r8>, hkcdDefaultStaticMeshTree *meshOut@<r9>, __int128 _XMM0@<xmm0>, __int128 _XMM6@<xmm6>)"
0x14011D0B0,CG_LoadCinematicCameraFile,,0x141BE53A0,high,27.453,24.445,20 shared string literals (jaccard 0.53); 1 mapped callee(s) in common; 1 shared rare constant; struct_sim=0.82,"void __usercall(const char *fileName@<rcx>, const int sceneSlotIndex@<edx>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM1@<xmm1>, __int128 *@<xmm7>)"
0x1408C0AF0,CG_VisionSetBuildBlendTree,,0x141DB3DA0,high,26.924,24.627,18 shared string literals (jaccard 0.62); 1 mapped callee(s) in common; 5 shared rare constants; struct_sim=0.67,void __fastcall(ClientVisionSetData *cvsData)
