iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x140503190,LUI_LuaCall_Game_GetScoreboardRowData_impl,LUI_CoD_LuaCall_GetScoreboardRowData,0x14264DA20,high,23.331,20.721,18 shared string literals (jaccard 0.51); struct_sim=0.81,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x1404F7120,LUI_LuaCall_Game_GetCPScoreboardRowData_impl,LUI_CoD_LuaCall_GetCPScoreboardRowData,0x14264BF30,high,11.962,2.024,8 shared string literals (jaccard 0.57); 1 shared rare constant; struct_sim=0.93,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x14072C3B0,PM_Weapon_ProcessState,PM_WeaponProcessState,0x1410BA1F0,high,11.348,9.503,callee set agrees: 10/11 mapped callees (jaccard 0.83); struct_sim=0.72,"int __usercall@<eax>(pmove_t *pm@<rcx>, pml_t *pml@<rdx>, int delayedAction@<r8d>, PlayerHandIndex hand@<r9d>, __int128 *@<xmm0>, __int128 *@<xmm1>, __int128 *@<xmm6>, __int128 *@<xmm7>, __int128 *@<xmm8>, __int128 *@<xmm9>, __int128 *@<xmm10>, __int128 *@<xmm11>, __int128 *@<xmm12>, const bool isInInterruptibleState)"
0x140E77380,inflate,db_inflate,0x1430FDCF0,high,10.097,1.42,5 shared string literals (jaccard 1.00); 4 shared rare constants; struct_sim=1.00,"__int64 __usercall@<rax>(z_stream_s *z@<rcx>, int f@<edx>, __int64@<r10>, __int64@<r11>)"
0x140CC0F40,UI_Init,UI_Register,0x142785280,high,8.897,6.567,6 shared string literals (jaccard 0.75); struct_sim=0.63,"void __usercall(ImageTrack@<edx>, __int128 _XMM0@<xmm0>, __int128 _XMM2@<xmm2>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>)"
0x1411BB220,db_inflate,inflate,0x1437C37F0,high,8.68,6.176,4 shared string literals (jaccard 0.80); 4 shared rare constants; struct_sim=0.99,"__int64 __fastcall(db_z_stream_s *z, int f)"
0x140611E50,LUI_RestoreMenu_Internal,LUI_RestoreMenu,0x142444980,high,8.161,2.932,5 shared string literals (jaccard 0.83); struct_sim=0.89,"void __fastcall(int controllerIndex, const char *menuName, const int menuId, int replaceTop, int exclusiveController, lua_State *luaVM)"
0x14061CA70,LUI_IsMenuOpenAndVisible,Menu_IsMenuOpenAndVisible,0x14245E410,high,7.082,4.077,4 shared string literals (jaccard 0.80); 1 shared rare constant; struct_sim=0.72,"__int64 __fastcall(LocalClientNum_t localClientNum, const char *menuName)"
0x14072BEC0,PM_Weapon_ProcessHand,PM_WeaponProcessHand,0x1410B93C0,high,6.795,4.695,callee set agrees: 5/6 mapped callees (jaccard 0.83); struct_sim=0.69,"void __usercall(pmove_t *pm@<rcx>, pml_t *pml@<rdx>, int delayedAction@<r8d>, PlayerHandIndex hand@<r9d>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x140E7CDC0,BG_MatchRulesHistory_ReadFromSaveFile,ReadMatchRulesSaveFile,0x1402C8BE0,high,5.473,2.135,1 mapped callee(s) in common; caller set agrees: 3/3 mapped callers (jaccard 1.00); 3 shared rare constants; struct_sim=0.78,"__int64 __fastcall(const char *filename, int controllerIndex, MatchRulesSaveHeader *header, char *saveBuffer, int saveBuffSize)"
0x1411BA560,adler32,adler32_gzip,0x1430FCD10,high,5.3,3.638,"identical 101-instruction sequence, unique in both binaries; 2 shared rare constants; struct_sim=1.00","__int64 __fastcall(unsigned int adler, const char *buf, unsigned int len)"
0x1400EDA90,LUI_DataBindingLive_UpdateCommerce,j_?LUI_DataBinding_Equipment_SnapshotUpdate@@YAXW4LocalClientNum_t@@@Z,0x14263DD70,high,5.262,5.262,3 shared string literals (jaccard 0.60); struct_sim=0.71,void __fastcall(const int controllerIndex)
0x14074B000,PM_Weapon_HasOffhandWeapon,BG_OffhandIsUnderbarrelWeapon,0x1410B1A60,high,4.658,2.198,caller set agrees: 6/7 mapped callers (jaccard 0.86); struct_sim=0.71,"_BOOL8 __fastcall(const BgWeaponMap *weaponMap, const playerState_s *ps, unsigned __int64 offhandButton)"
0x140427AF0,G_VehiclePath_FreePathPos,VehPath_FreePathPos,0x140D3CBB0,high,4.5,4.5,"identical 31-instruction sequence, unique in both binaries; struct_sim=1.00",void __fastcall(VehiclePathPos *vpp)
0x140F08840,?0hkErrStream,j_??1hkErrStream@@UEAA@XZ,0x14001154A,medium,32.619,32.619,caller set overlaps: 53/79 mapped callers (jaccard 0.64); struct_sim=0.55,"void __fastcall(hkErrStream *this, void *buf, int bufSize)"
